frame_id,camera_path,lidar_path,radar_path,ego_vel,decision
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151603512404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151603512404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151604012404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151604012404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151604512404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151604512404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151605012404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151605012404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151605512404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151605512404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151606012404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151606012404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151606512404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151606512404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151607012404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151607012404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151607512404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151607512404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151608012404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151608012404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151608512404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151608512404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151609012404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151609012404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151609512404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151609512404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151609912404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151609912404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151610412404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151610412404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151610912404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151610912404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151611412404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151611412404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151611862404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151611862404.jpg,,,,
